District,Market,Latitude,Longitude
Mahasamund,Pithoura,21.2,82.5
Mahasamund,Sakra,21.2,82.5
Mahasamund,Sarayapali,21.2,82.5
Mungeli,Lormi,22.2715391,81.7022592
Hoshangabad,Banapura,22.4690271,77.4824229
Jabalpur,Jabalpur,23.1701522,79.9324505
Hanumangarh,Nohar,29.1922355,74.7743423
Hanumangarh,Suratgarh,29.3940736,73.9090226
Jaipur,Chaksu,26.6059831,75.9430338
Pali,Sojat Road,25.861057,73.7542302
Sikar,Fatehpur,28.0000653,74.970619
Palwal,Hodal,27.8999168,77.3739284
East Godavari,Ravulapelem,17.83333,81.83333
